address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Nowa Huta Czyżyny ul. Woźniców,Kraków,4.0,50.0469432,19.997153435836697,353600.0,1.0,27.2,2022.0,13000.0
Stare Miasto Kazimierz,Kraków,5.0,50.051855,19.9449466,380000.0,2.0,33.36,1920.0,11390.887290167866
Krowodrza Łobzów,Kraków,3.0,50.073512,19.9149277,845000.0,4.0,65.0,1970.0,13000.0
Stare Miasto Oskara Kolberga,Kraków,3.0,50.0716418,19.9347471,1096338.0,3.0,92.91,1930.0,11800.0
Grzegórzki ul. Fabryczna,Kraków,2.0,50.058444,19.9702351,885472.0,3.0,75.04,2021.0,11799.999999999998
Grzegórzki Fabryczna,Kraków,2.0,50.058444,19.9702351,991760.0,3.0,86.24,2020.0,11500.0
Bronowice Stańczyka,Kraków,3.0,50.0788285,19.8942504,405000.0,2.0,37.0,2021.0,10945.945945945947
Śródmieście Aleja 29 Listopada,Kraków,2.0,51.728259,18.5076219,616920.0,3.0,58.2,2020.0,10600.0
Grzegórzki ul. Fabryczna,Kraków,4.0,50.058444,19.9702351,910815.0,3.0,74.05,2021.0,12300.0
Bronowice Bronowicka,Kraków,5.0,50.0778251,19.900680986965757,480000.0,3.0,45.0,1970.0,10666.666666666666
Krowodrza Juliusza Lea,Kraków,1.0,50.0703596,19.9188768,750000.0,3.0,70.0,2005.0,10714.285714285714
Bronowice Stańczyka,Kraków,6.0,50.0788285,19.8942504,399000.0,2.0,36.7,2021.0,10871.93460490463
Stare Miasto Kazimierz Wiślisko,Kraków,1.0,50.0469432,19.997153435836697,990000.0,2.0,75.0,1937.0,13200.0
Krowodrza,Kraków,0.0,50.07087985,19.91656311814478,599850.0,3.0,46.5,2021.0,12900.0
Krowodrza,Kraków,8.0,50.07087985,19.91656311814478,490000.0,3.0,47.9,1974.0,10229.64509394572
Dębniki,Kraków,0.0,50.0518611,19.9270367,379000.0,1.0,35.43,2021.0,10697.149308495626
Podgórze ul. Stanisława Klimeckiego,Kraków,4.0,50.0492242,19.9703793,729000.0,3.0,71.73,2021.0,10163.111668757841
