address,city,floor,price,rooms,sq,year,price_per_sq
Podgórze,Kraków,0.0,623267.0,3.0,70.03,2021.0,8900.0
Prądnik Biały,Kraków,4.0,519000.0,2.0,56.0,2014.0,9267.857142857143
Stare Miasto,Kraków,3.0,699000.0,2.0,54.0,1964.0,12944.444444444443
Krowodrza,Kraków,3.0,365000.0,2.0,38.88,1980.0,9387.860082304524
Mistrzejowice,Kraków,1.0,484538.0,3.0,59.09,2022.0,8200.0
Nowa Huta,Kraków,3.0,353600.0,1.0,27.2,2022.0,13000.0
Krowodrza,Kraków,3.0,420000.0,2.0,35.5,1973.0,11830.985915492958
Prądnik Biały,Kraków,5.0,399000.0,2.0,42.6,2020.0,9366.197183098591
Podgórze,Kraków,1.0,449000.0,2.0,43.9,2021.0,10227.790432801825
Stare Miasto,Kraków,2.0,1100000.0,3.0,96.7,1935.0,11375.387797311272
Nowa Huta,Kraków,0.0,381667.0,2.0,40.82,2022.0,9350.0
Nowa Huta,Kraków,1.0,349600.0,2.0,34.96,2022.0,10000.0
Bieżanów-Prokocim,Kraków,2.0,286000.0,2.0,38.02,2020.0,7522.356654392424
Podgórze,Kraków,2.0,379000.0,2.0,38.86,2021.0,9752.95934122491
Mistrzejowice,Kraków,3.0,435150.0,2.0,48.18,2020.0,9031.75591531756
Podgórze Duchackie,Kraków,10.0,295000.0,1.0,36.9,1998.0,7994.579945799458
Prądnik Biały,Kraków,3.0,890000.0,3.0,78.0,2007.0,11410.25641025641
Prądnik Czerwony,Kraków,0.0,441686.0,2.0,45.07,2021.0,9800.0
Krowodrza,Kraków,3.0,319000.0,1.0,27.41,2021.0,11638.08828894564
Prądnik Biały,Kraków,1.0,690000.0,3.0,70.98,1990.0,9721.048182586645
Podgórze,Kraków,2.0,356000.0,2.0,39.57,2022.0,8996.714682840535
Podgórze,Kraków,3.0,369000.0,2.0,28.36,2021.0,13011.283497884344
Nowa Huta,Kraków,0.0,424680.0,2.0,35.39,2022.0,12000.0
Podgórze,Kraków,2.0,399000.0,2.0,38.59,2022.0,10339.466182948949
